[Header]
; VSM Data File (default extension .dat)
; Copyright (c) 2003-2013, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3900589104.8775,08/07/2023,4:57 pm
BYAPP,VSM,1.0,1.0
INFO,DYNACOOL VSM Option Release 1.4.10 Build 1,APPNAME
INFO,Quantum Design Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 N2,MOTOR_HW_VERSION
INFO,MMC1154,MOTOR_SERIAL_NUMBER
INFO,SRV No X-over 01.03.11,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design VSM Detection Module,VSM_MODULE_NAME
INFO,3101-150 F0,VSM_HW_VERSION
INFO,VSM783,VSM_SERIAL_NUMBER
INFO,VSM No X-over 01.02.05 May 20 2008 13:51:47,VSM_SOFTWARE_VERSION
INFO,771,PREAMP_SERIAL_NUMBER
INFO,LB776,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,Glass w 3d,SAMPLE_MATERIAL
INFO,QD Brass ,SAMPLE_COMMENT
INFO,,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,System Temp. (K),Temp. Status (code),Field Status (code),Chamber Status (code),Motor Current (amps),Motor Heatsink Temp. (C),Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3900589134.06,300.233444213867,2913.2978515625,0.000119871181924202,1.79344032085329E-6,1,0.499626677034896,40.0298881530762,2.00267071181413,55.9299997985363,0.000603862290207955,0.000122040432564058,0.25,1.88063135784728E-6,0.000119842108230442,2.34261926950393E-6,300.235473632812,300.235473632812,2910.8115234375,2915.7841796875,48.6837323202936,20.5974027962662,34.2936782836914,0,0,0,20,298.333251953125,1,6,1,2.22091674804687,32.2580642700195,,,,,,,,,,,,,,,,
,3900589134.534,300.231643676758,2908.81945800781,0.000122131625618366,1.75971346964828E-6,1,0.499626677034896,40.0298881530762,2.00265566010017,55.9299997985363,0.00061565382260739,0.00012214090695195,0.25,1.48065040811156E-6,0.000122103689219405,1.95143300039288E-6,300.231414794922,300.231414794922,2906.82739257812,2910.8115234375,48.8244254537552,20.594957750963,34.2974548339844,0,0,0,20,298.333221435547,1,6,1,2.23037719726562,33.7243423461914,,,,,,,,,,,,,,,,
,3900589135.045,300.230545043945,2903.77380371094,0.000121766765969273,2.74420841506561E-6,1,0.499626677034896,40.0298881530762,2.00265566010017,55.9399984776974,0.000615154444992876,0.000114565751061028,0.25,4.90942456000235E-8,0.000121744421086036,5.18732325740936E-7,300.231872558594,300.231872558594,2901.76586914063,2905.78173828125,49.0323386398706,20.594957750963,34.2969131469727,0,0,0,20,298.333221435547,1,6,1,2.2174072265625,32.2580642700195,,,,,,,,,,,,,,,,
,3900589135.5455,300.234100341797,2898.328125,0.000121069869087186,2.6642929992462E-6,1,0.499626677034896,40.0298881530762,2.00251642642921,55.9299997985363,0.000609957292996718,0.000122701484144867,0.25,1.79055148819296E-6,0.000121040922376326,2.25717820433446E-6,300.229217529297,300.229217529297,2895.80883789063,2900.84741210937,48.9760613864859,20.5936454772563,34.3017692565918,0,0,0,20,298.330474853516,1,6,1,2.2259521484375,32.7468223571777,,,,,,,,,,,,,,,,
,3900589136.05,300.238983154297,2893.79479980469,0.000119595722931371,2.04540606969005E-6,1,0.499626677034896,40.0298881530762,2.00251642642921,55.9299997985363,0.00060413604517384,0.000112566533706496,0.25,5.83431779479497E-8,0.00011957370921176,5.19590798910643E-7,300.238983154297,300.238983154297,2891.78076171875,2895.80883789063,49.1769399159283,20.5936454772563,34.299072265625,0,0,0,20,298.335418701172,1,6,1,2.21893310546875,33.7243423461914,,,,,,,,,,,,,,,,
,3900589136.5435,300.235656738281,2888.74975585937,0.00011817572152075,2.69924246046136E-6,1,0.499626677034896,40.0298881530762,2.00237885369109,55.9299997985363,0.000598572857775291,0.000102344360843638,0.25,-1.69985789573851E-6,0.000118160758604554,-1.2437606133217E-6,300.238983154297,300.238983154297,2885.71875,2891.78076171875,47.4362532036012,20.589695266435,34.2971839904785,0,0,0,20,298.330871582031,1,6,1,2.21542358398438,33.7243423461914,,,,,,,,,,,,,,,,
,3900589137.065,300.230880737305,2883.2568359375,0.000120325867941212,1.86806777205074E-6,1,0.499626677034896,40.0298881530762,2.00237885369109,55.9399984776974,0.000607189541530735,0.000116444667532187,0.25,6.91838230281128E-7,0.000120301305022369,1.15580189499892E-6,300.232330322266,300.232330322266,2880.794921875,2885.71875,48.9025883056783,20.589695266435,34.2993431091309,0,0,0,20,298.330657958984,1,6,1,2.23419189453125,32.2580642700195,,,,,,,,,,,,,,,,
,3900589137.536,300.233016967773,2878.78344726562,0.000121182283268822,2.19048642678789E-6,1,0.499626677034896,40.0298881530762,2.00259110290887,55.9399984776974,0.00061314305816198,0.00010884276080691,0.25,-9.74367871563598E-7,0.000121163983703376,-5.06801659261878E-7,300.229431152344,300.229431152344,2876.77197265625,2880.794921875,49.5505583481206,20.5964224341351,34.3020401000977,0,0,0,20,298.330657958984,1,6,1,2.21786499023438,32.7468223571777,,,,,,,,,,,,,,,,
,3900589138.0525,300.237197875977,2873.76599121094,0.000118699988229519,2.39883442850638E-6,1,0.499626677034896,40.0298881530762,2.00259110290887,55.9399984776974,0.00060023738949191,0.000108475161604344,0.25,-5.85854588938808E-7,0.00011868062813012,-1.27940471692532E-7,300.236602783203,300.236602783203,2871.79174804687,2875.740234375,49.2003887715052,20.5964224341351,34.3058166503906,0,0,0,20,298.330047607422,1,6,1,2.22610473632813,33.2355842590332,,,,,,,,,,,,,,,,
,3900589138.5255,300.234802246094,2868.78173828125,0.000118636665097081,2.27757438493883E-6,1,0.499626677034896,40.0298881530762,2.00265445356921,55.9299997985363,0.00059943233990228,0.000111129357403793,0.25,-4.94084646767447E-8,0.00011861525546285,4.0816822140144E-7,300.23779296875,300.23779296875,2866.71801757813,2870.84545898438,48.800194969659,20.5949725439511,34.3060874938965,0,0,0,20,298.333190917969,1,6,1,2.20901489257813,32.7468223571777,,,,,,,,,,,,,,,,
